YP_898402.1,ZP_05061364.1,ZP_08324662.1,YP_122507.1,NP_907747.1,ADX75954.1,ZP_10206685.1,ZP_16930555.1,AAK33936.1,YP_820832.1,NP_721764.1,YP_004373648.1,ZP_08576281.1,ZP_03683851.1,YP_003171950.1,YP_003937986.1,EHN59352.1,ZP_08660870.1,YP_001691366.1,ZP_07316256.1,ZP_08029929.1,ZP_03989815.1,ZP_07455288.1,CBK78998.1,ZP_00143587.1,YP_005054169.1,ZP_07398877.1,NP_970941.1,ZP_07912707.1,ZP_02077990.1,YP_820161.1,EFT93846.1,YP_002937591.1,YP_015730.1,ZP_09312133.1,ADC31648.1,YP_278700.1,EIE39736.1,NP_907605.1,YP_002344900.1,YP_003516037.1,ZP_06887976.1,YP_003968716.1,ZP_09352959.1,YP_002507391.1,YP_002551549.1,YP_002342100.1,NP_246064.1,ZP_07738815.1,ZP_08574780.1,ZP_03755025.1,ZP_10953934.1,ADI19058.1,ZP_08157403.1,ZP_10010146.1,ZP_11150502.1,ZP_18919511.1,YP_425545.1,CCA84553.1,ZP_10898214.1,YP_004386148.1,YP_003552871.1,YP_003448082.1,YP_571550.1,YP_001239928.1,YP_001531750.1,YP_001411379.1,ZP_17295095.1,ZP_07217791.1,YP_005848005.1,YP_213533.1,ZP_10895610.1,ZP_11022414.1,ZP_09642280.1,YP_004843922.1,ZP_08837074.1,ZP_06288774.1,YP_001875142.1,YP_004248194.1,YP_873709.1,ZP_07880770.1,ZP_03925169.1,YP_001955845.1,YP_001878601.1,YP_004168469.1,ZP_08015909.1,J7RUA5.1,AEX66236.1,WP_013852048.1,EEZ71796.1,BAK69486.1
       0.0,      32.0,      11.0,       5.0,       9.0,       2.0,       2.0,       3.0,       2.0,       7.0,       6.0,       4.0,       3.0,       4.0,       2.0,       3.0,       2.0,       3.0,       5.0,       2.0,       2.0,       0.0,       9.0,       2.0,       2.0,       4.0,       5.0,       5.0,       4.0,       6.0,       2.0,       4.0,       5.0,       6.0,       5.0,       3.0,       5.0,       2.0,       1.0,       4.0,       1.0,       1.0,       3.0,       2.0,       4.0,       4.0,       4.0,       3.0,       4.0,       6.0,       0.0,       6.0,       1.0,       1.0,       3.0,       0.0,       1.0,       2.0,       1.0,       0.0,       0.0,       3.0,       2.0,       2.0,       0.0,       0.0,       0.0,       6.0,       2.0,       3.0,       3.0,       2.0,       3.0,       3.0,       4.0,       3.0,       3.0,       0.0,       2.0,       4.0,       2.0,       4.0,       2.0,       1.0,       2.0,       9.0,       5.0,       2.0,       4.0,       2.0,       1.0
      32.0,       0.0,      29.0,      19.0,      14.0,       1.0,       1.0,       2.0,       3.0,       4.0,       3.0,       4.0,       0.0,       3.0,       3.0,       3.0,       6.0,       3.0,       3.0,       3.0,       2.0,       4.0,       3.0,       1.0,       2.0,       1.0,       4.0,       2.0,       4.0,       1.0,       5.0,       7.0,       5.0,       1.0,       4.0,       4.0,       4.0,       8.0,       6.0,       2.0,       0.0,       1.0,       8.0,       2.0,       2.0,       1.0,       2.0,       1.0,       3.0,       3.0,       1.0,       1.0,       0.0,       3.0,       3.0,       0.0,       1.0,       0.0,       0.0,       3.0,       2.0,       2.0,       0.0,       1.0,       1.0,       6.0,       1.0,       3.0,       4.0,       3.0,       3.0,       0.0,       2.0,       2.0,       4.0,       1.0,       3.0,       2.0,       2.0,       2.0,       5.0,       0.0,       1.0,       2.0,       0.0,      20.0,       3.0,       2.0,       3.0,       2.0,       1.0
      11.0,      29.0,       0.0,      22.0,      11.0,       2.0,       2.0,       5.0,       3.0,       6.0,       5.0,       5.0,       3.0,       5.0,       0.0,       4.0,       3.0,       3.0,       5.0,       3.0,       2.0,       1.0,       2.0,       1.0,       1.0,       3.0,       1.0,       2.0,       3.0,       2.0,       0.0,      11.0,       8.0,       5.0,       2.0,      11.0,       2.0,       6.0,       2.0,       4.0,       3.0,       0.0,       3.0,       1.0,       0.0,       4.0,       2.0,       2.0,       1.0,       3.0,       2.0,       1.0,       6.0,       1.0,       2.0,       6.0,       3.0,       4.0,       1.0,       2.0,       3.0,       4.0,       0.0,       3.0,       2.0,       5.0,       2.0,       8.0,       2.0,       3.0,       1.0,       1.0,       4.0,       2.0,       3.0,       3.0,       1.0,       6.0,       2.0,       3.0,       2.0,       0.0,       0.0,       1.0,       3.0,      41.0,       7.0,       5.0,       1.0,       2.0,       3.0
       5.0,      19.0,      22.0,       0.0,      16.0,       3.0,       1.0,       0.0,       1.0,       2.0,       0.0,       3.0,       1.0,       0.0,       0.0,       0.0,       3.0,       2.0,       3.0,       8.0,       6.0,       4.0,       6.0,       4.0,       6.0,       3.0,       4.0,       2.0,       0.0,       3.0,       0.0,       3.0,       5.0,       3.0,       3.0,       2.0,       4.0,       5.0,       1.0,       7.0,       3.0,       0.0,       6.0,       1.0,       2.0,       1.0,       2.0,       4.0,       0.0,       2.0,       0.0,       1.0,       0.0,       3.0,       2.0,       4.0,       1.0,       0.0,       1.0,       3.0,       0.0,       2.0,       0.0,       1.0,       2.0,       1.0,       4.0,       3.0,       1.0,       4.0,       1.0,       1.0,       2.0,       5.0,       3.0,       4.0,       0.0,       2.0,       1.0,       0.0,       1.0,       0.0,       0.0,       3.0,       0.0,      20.0,       3.0,       2.0,       4.0,       1.0,       3.0
       9.0,      14.0,      11.0,      16.0,       0.0,       3.0,      10.0,       5.0,       2.0,       1.0,       0.0,       3.0,       4.0,       3.0,       6.0,       1.0,       2.0,       7.0,       6.0,       2.0,       2.0,       4.0,       4.0,       5.0,       5.0,       2.0,       0.0,       4.0,       2.0,       5.0,       3.0,       4.0,       4.0,       2.0,       4.0,       2.0,       1.0,       3.0,       5.0,       5.0,       1.0,       4.0,       5.0,       4.0,       2.0,       3.0,       2.0,       5.0,       1.0,       2.0,       2.0,       3.0,       3.0,       2.0,       4.0,       2.0,       0.0,       5.0,       5.0,       3.0,       2.0,       2.0,       2.0,       4.0,       4.0,       3.0,       1.0,       3.0,       1.0,       4.0,       5.0,       3.0,       2.0,       2.0,       3.0,       2.0,       3.0,       8.0,       1.0,       3.0,       3.0,       0.0,       0.0,       5.0,       4.0,       9.0,       5.0,       4.0,       3.0,       2.0,       2.0
       2.0,       1.0,       2.0,       3.0,       3.0,       0.0,      33.0,      28.0,      30.0,      28.0,      22.0,      21.0,      30.0,      28.0,      21.0,      27.0,      26.0,      39.0,      18.0,      17.0,      20.0,      17.0,      12.0,      28.0,      26.0,      30.0,      19.0,      22.0,       7.0,       6.0,       3.0,       1.0,       1.0,       4.0,       5.0,       2.0,       2.0,       5.0,       1.0,       6.0,       2.0,       1.0,       4.0,       3.0,       1.0,       2.0,       1.0,       2.0,       0.0,       5.0,       3.0,       4.0,       1.0,       2.0,       5.0,       2.0,       2.0,       2.0,       3.0,       3.0,       2.0,       4.0,       0.0,       1.0,       3.0,       3.0,       5.0,       7.0,       2.0,       2.0,       3.0,       2.0,       2.0,       4.0,       1.0,       3.0,       1.0,       4.0,       4.0,       2.0,       2.0,       0.0,       4.0,       0.0,       1.0,       2.0,       5.0,       4.0,       1.0,       0.0,       3.0
       2.0,       1.0,       2.0,       1.0,      10.0,      33.0,       0.0,      29.0,      21.0,      29.0,      29.0,      22.0,      19.0,      28.0,      21.0,      20.0,      21.0,      32.0,      12.0,      22.0,      15.0,      16.0,      11.0,      12.0,       7.0,      20.0,      13.0,      21.0,       9.0,       5.0,       7.0,       1.0,       1.0,       3.0,       5.0,       5.0,       6.0,       6.0,       2.0,       2.0,       1.0,       2.0,       6.0,       7.0,       5.0,       4.0,       3.0,       4.0,       4.0,       2.0,       6.0,       4.0,       3.0,       4.0,       8.0,       0.0,       1.0,       3.0,       4.0,       1.0,       0.0,       2.0,       4.0,       2.0,       5.0,       4.0,       1.0,       2.0,       2.0,       3.0,      10.0,       3.0,       3.0,       3.0,       1.0,       1.0,       2.0,       7.0,       2.0,       2.0,       4.0,       2.0,       1.0,       2.0,       4.0,       3.0,       6.0,       0.0,       3.0,       3.0,       3.0
       3.0,       2.0,       5.0,       0.0,       5.0,      28.0,      29.0,       0.0,      83.0,      73.0,      68.0,      18.0,      23.0,      27.0,      20.0,      17.0,      24.0,      28.0,      22.0,      23.0,      26.0,      15.0,      14.0,      19.0,      20.0,      25.0,      25.0,      20.0,       6.0,      10.0,      12.0,       4.0,       5.0,       3.0,       6.0,       6.0,       5.0,       7.0,       4.0,       1.0,       4.0,       0.0,      14.0,       3.0,       0.0,       2.0,       4.0,       1.0,       0.0,      10.0,       4.0,       8.0,       3.0,       5.0,       3.0,       1.0,       2.0,       2.0,       1.0,       0.0,       3.0,       0.0,       0.0,       0.0,       1.0,       2.0,       1.0,       6.0,       2.0,       3.0,       4.0,       1.0,       1.0,       3.0,      10.0,       7.0,       2.0,       0.0,       5.0,       0.0,       6.0,       0.0,       1.0,       0.0,       1.0,       3.0,       7.0,       0.0,       5.0,       4.0,       6.0
       2.0,       3.0,       3.0,       1.0,       2.0,      30.0,      21.0,      83.0,       0.0,     215.0,     282.0,      28.0,      25.0,      36.0,      18.0,      21.0,      29.0,      25.0,      37.0,      36.0,      24.0,      17.0,      21.0,      22.0,      25.0,      40.0,      29.0,      26.0,       3.0,       4.0,       9.0,       4.0,       4.0,       3.0,       1.0,       2.0,       4.0,       4.0,       0.0,       2.0,       4.0,       1.0,       5.0,       5.0,       5.0,       5.0,       3.0,       2.0,       0.0,       3.0,       7.0,       5.0,       3.0,       5.0,       1.0,       1.0,       0.0,       9.0,       5.0,       2.0,       3.0,       0.0,       0.0,       0.0,       5.0,       4.0,       0.0,       3.0,       1.0,       5.0,       1.0,       1.0,       4.0,       0.0,      10.0,       1.0,       4.0,       0.0,       5.0,       4.0,       0.0,       3.0,       1.0,       1.0,       7.0,       0.0,       4.0,       2.0,       3.0,       3.0,       5.0
       7.0,       4.0,       6.0,       2.0,       1.0,      28.0,      29.0,      73.0,     215.0,       0.0,     284.0,      32.0,      30.0,      25.0,      21.0,      23.0,      42.0,      39.0,      36.0,      35.0,      28.0,      22.0,      28.0,      27.0,      25.0,      34.0,      28.0,      31.0,       5.0,      11.0,       9.0,       7.0,       7.0,       6.0,       2.0,       4.0,       3.0,       5.0,       0.0,       5.0,       3.0,       1.0,      12.0,       9.0,       9.0,       5.0,       3.0,       4.0,       3.0,       5.0,      11.0,       6.0,       0.0,       2.0,       3.0,       4.0,       2.0,       7.0,       5.0,       2.0,       1.0,       3.0,       1.0,       1.0,       0.0,       4.0,       1.0,       4.0,       4.0,       5.0,       2.0,       3.0,       1.0,       0.0,       5.0,       5.0,       3.0,       3.0,       6.0,       1.0,       2.0,       0.0,       0.0,       5.0,       2.0,       0.0,       5.0,       2.0,       3.0,       2.0,      11.0
       6.0,       3.0,       5.0,       0.0,       0.0,      22.0,      29.0,      68.0,     282.0,     284.0,       0.0,      27.0,      26.0,      30.0,      16.0,      37.0,      34.0,      37.0,      35.0,      29.0,      23.0,      21.0,      27.0,      30.0,      25.0,      32.0,      23.0,      21.0,       4.0,       9.0,       8.0,       6.0,       4.0,       4.0,       2.0,       9.0,       2.0,       5.0,       2.0,       2.0,       1.0,       0.0,      10.0,       4.0,       3.0,       2.0,       3.0,       4.0,       1.0,       7.0,       7.0,       5.0,       1.0,       3.0,       0.0,       6.0,       1.0,       8.0,       5.0,       0.0,       1.0,       1.0,       4.0,       2.0,       1.0,       5.0,       1.0,       2.0,       3.0,       8.0,       8.0,       2.0,       1.0,       1.0,       4.0,       2.0,       3.0,       5.0,       4.0,       1.0,       3.0,       4.0,       1.0,       2.0,       5.0,       0.0,       3.0,       1.0,       1.0,       3.0,       3.0
       4.0,       4.0,       5.0,       3.0,       3.0,      21.0,      22.0,      18.0,      28.0,      32.0,      27.0,       0.0,      46.0,      21.0,      16.0,      12.0,      15.0,      27.0,      25.0,      33.0,      19.0,       8.0,      24.0,      19.0,      20.0,      34.0,      18.0,      27.0,       8.0,       5.0,       3.0,       9.0,       8.0,       5.0,       2.0,       6.0,       3.0,       3.0,       5.0,       1.0,       2.0,       3.0,       5.0,       8.0,       2.0,       3.0,       6.0,       7.0,       2.0,       5.0,       5.0,       9.0,       1.0,       7.0,       2.0,       0.0,       0.0,       3.0,       3.0,       2.0,       4.0,       0.0,       1.0,       1.0,       1.0,       0.0,       2.0,       6.0,       1.0,       3.0,       2.0,       1.0,       3.0,       0.0,       1.0,       1.0,       4.0,       2.0,       2.0,       3.0,       4.0,       1.0,       1.0,       2.0,       3.0,       1.0,       9.0,       1.0,       4.0,       6.0,       2.0
       3.0,       0.0,       3.0,       1.0,       4.0,      30.0,      19.0,      23.0,      25.0,      30.0,      26.0,      46.0,       0.0,      36.0,      14.0,      23.0,      25.0,      22.0,      27.0,      27.0,      16.0,      11.0,      14.0,      26.0,      23.0,      32.0,      22.0,      13.0,       4.0,       3.0,       8.0,       2.0,       2.0,       4.0,       7.0,       7.0,       9.0,       7.0,       5.0,       2.0,       5.0,       4.0,       3.0,       6.0,       5.0,       4.0,       3.0,       4.0,       2.0,       1.0,       6.0,       3.0,       3.0,       7.0,       1.0,       2.0,       0.0,       4.0,       7.0,       3.0,       0.0,       0.0,       1.0,       3.0,       1.0,       6.0,       0.0,       2.0,       1.0,       5.0,       4.0,       5.0,       3.0,       0.0,       4.0,       0.0,       2.0,       4.0,       0.0,       2.0,       1.0,       3.0,       0.0,       0.0,       0.0,       6.0,       7.0,       0.0,       5.0,       5.0,       0.0
       4.0,       3.0,       5.0,       0.0,       3.0,      28.0,      28.0,      27.0,      36.0,      25.0,      30.0,      21.0,      36.0,       0.0,      12.0,      35.0,      30.0,      23.0,      29.0,      32.0,      14.0,      12.0,      10.0,      17.0,      18.0,      25.0,      10.0,      24.0,       4.0,       1.0,       3.0,       3.0,       4.0,       4.0,       2.0,       7.0,       7.0,       5.0,       3.0,       3.0,       1.0,       0.0,       0.0,       3.0,       3.0,       1.0,       4.0,       6.0,       1.0,       1.0,       4.0,       6.0,       3.0,       3.0,       4.0,       3.0,       2.0,       3.0,       2.0,       1.0,       0.0,       3.0,       0.0,       1.0,       2.0,       2.0,       1.0,       3.0,       4.0,       1.0,       6.0,       2.0,       3.0,       1.0,       5.0,       2.0,       3.0,       2.0,       5.0,       2.0,       0.0,       1.0,       2.0,       1.0,       4.0,       1.0,       3.0,       2.0,       2.0,       4.0,       6.0
       2.0,       3.0,       0.0,       0.0,       6.0,      21.0,      21.0,      20.0,      18.0,      21.0,      16.0,      16.0,      14.0,      12.0,       0.0,      26.0,      35.0,      48.0,      18.0,      20.0,      14.0,      16.0,      19.0,      18.0,      16.0,      26.0,      19.0,      11.0,       3.0,       5.0,       3.0,       4.0,       1.0,       4.0,       3.0,       2.0,       2.0,       0.0,       4.0,       0.0,       1.0,       1.0,       6.0,       6.0,       6.0,       2.0,       1.0,       0.0,       5.0,       2.0,      14.0,       2.0,       4.0,       3.0,       0.0,       2.0,       4.0,       4.0,       2.0,       5.0,       1.0,       0.0,       3.0,       3.0,       3.0,       4.0,       1.0,       3.0,       2.0,       3.0,       1.0,       3.0,       0.0,       2.0,       2.0,       1.0,       0.0,       3.0,       2.0,       2.0,       0.0,       5.0,       0.0,       2.0,       1.0,       4.0,       3.0,       1.0,       3.0,       2.0,       3.0
